I#,Target,Mode,IP,URL Rating,Domain Rating,Ahrefs Rank,Domains,Ref domains Dofollow,Ref domains Governmental,Ref domains Educational,Ref IPs,Ref SubNets,Linked Domains,Total Backlinks,Backlinks Text,Backlinks NoFollow,Backlinks Redirect,Backlinks Image,Backlinks Frame,Backlinks Form,Backlinks Governmental,Backlinks Educational,Total Keywords,Total Traffic
813,jonnaspilbor.com,subdomains,66.155.35.240,NA,21,8756923,101,64,0,1,249,154,8,21452,21295,465,142,4133,0,0,0,25,265,420
814,www.fisherwise.com,subdomains,52.24.184.195,NA,5,29326167,44,32,0,1,145,88,10,1233,1233,67,0,1,0,0,0,19,423,156
815,www.baradatlaw.com,subdomains,166.62.75.130,NA,2.2,45374292,13,3,0,0,15,14,20,21,21,17,0,0,0,0,0,0,50,1
816,www.venturainjurylawfirm.com,subdomains,67.227.172.56,NA,8,20994520,110,57,0,1,97,91,40,25465,25464,825,1,61,0,0,0,2,163,25
817,www.ingberprovost.com,subdomains,98.129.229.208,NA,15,12921540,57,33,0,0,51,51,57,17718,17718,363,0,175,0,0,0,0,1546,291
818,www.lawboss.com,subdomains,67.227.229.8,NA,20,8861835,114,73,0,0,127,123,6,22450,22431,193,19,52,0,0,0,0,297,259
819,www.jloesq.com,subdomains,35.196.247.55,NA,6,25469657,38,20,0,1,72,65,13,647,647,295,0,3,0,0,0,4,179,24
820,www.richardinjurylaw.com,subdomains,64.70.194.135,NA,6,26086937,37,19,0,1,57,54,8,17152,17152,80,0,5,0,0,0,6,129,93
821,www.thehawkfirm.com,subdomains,192.245.157.40,NA,13,14316418,42,16,0,0,43,42,15,636,636,241,0,42,0,0,0,0,345,153
822,www.sobolaw.com,subdomains,NA,NA,10,19039119,261,99,0,0,235,216,132,8769,8764,7360,3,32,2,0,0,0,94,1
823,www.cranefloresllp.com,subdomains,64.70.194.139,NA,8,22508674,100,50,0,1,138,127,78,1282,1280,554,0,30,2,0,0,14,207,111
824,www.bonitaspringsaccidentlawyers.com,subdomains,64.70.194.124,NA,12,15192509,38,20,0,0,38,35,13,1378,1378,85,0,22,0,0,0,0,36,27
825,rutbergbreslow.com,subdomains,107.180.24.244,NA,15,12600822,67,38,0,0,84,78,51,4215,4205,3969,10,8,0,0,0,0,324,57
826,www.burnsidefirm.com,subdomains,67.227.227.134,NA,13,14701494,164,71,0,1,324,213,57,17874,17849,3977,23,146,0,0,0,52,1387,271
827,www.yourlawyer.com,subdomains,35.196.5.93,NA,59,289372,2799,2055,6,24,2295,1761,1833,222045,218473,17952,131,2816,399,2453,11,145,46526,7665
828,www.goldsteinlawfirm.com,subdomains,35.246.6.109,NA,7,24590883,40,18,0,0,26,25,12,9552,9469,21,0,10,83,0,0,0,57,21
829,www.gilmanlawllp.com,subdomains,132.148.220.188,NA,27,5308272,84,65,0,0,73,70,0,2420,2417,541,1,23,0,0,0,0,4,1
830,www.metzgerinjurylaw.com,subdomains,199.34.228.56,NA,0.1,98589683,10,6,0,0,7,7,18,156,156,149,0,0,0,0,0,0,30,11
831,www.callbigmike.com,subdomains,104.27.148.13,NA,7,22939093,82,46,0,1,126,114,25,1794,1781,204,11,15,0,0,0,1,91,36
832,www.chrishudsonlaw.com,subdomains,104.18.36.96,NA,19,9428054,145,64,0,1,170,149,57,6065,6033,2903,32,64,0,0,0,4,2233,639
833,www.schurmerwood.com,subdomains,64.70.194.131,NA,14,13638506,57,30,0,1,161,106,46,2940,2940,1928,0,15,0,0,0,22,644,124
834,www.goetzyourdisability.com,subdomains,NA,NA,0.8,65520444,5,4,0,0,5,5,0,126,126,1,0,116,0,0,0,0,0,0
835,baschkeegan.com,subdomains,34.224.10.110,NA,21,8398943,82,50,0,0,90,88,95,851,843,654,8,32,0,0,0,0,1405,351
836,www.queenanlaw.com,subdomains,166.62.107.55,NA,27,5494059,328,238,1,1,280,254,21,310297,310251,4832,44,67,0,0,2,4,3608,658
837,www.howardblaulaw.com,subdomains,104.196.146.49,NA,6,25361834,38,20,0,1,94,70,0,609,607,123,1,1,1,0,0,13,0,0
838,www.dallvechiakraftlaw.com,subdomains,100.24.208.97,NA,0,116079807,17,4,0,0,19,19,3,298,298,286,0,0,0,0,0,0,70,18
839,thecompassionateaccidentinjury-personalinjurylawyer.business.site,subdomains,NA,NA,92,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,moret-law.com,subdomains,NA,NA,0.5,74636964,64,21,0,1,71,70,0,308,308,263,0,9,0,0,0,4,83,15
841,www.rajizeidanlaw.com,subdomains,104.196.129.80,NA,0.2,86986189,29,13,0,0,34,33,15,556,554,215,0,0,0,0,0,0,164,35
842,www.rockywaltoninjurylawyers.com,subdomains,69.43.202.154,NA,8,21972835,102,36,0,0,89,88,61,5751,5751,5618,0,1328,0,0,0,0,1546,188
843,anthonydefaziolaw.com,subdomains,35.239.18.179,NA,2.1,46977026,21,9,0,0,21,21,5,161,161,120,0,0,0,0,0,0,37,34
844,www.vititoelawgroup.com,subdomains,72.10.51.32,NA,33,3091429,162,81,0,1,194,161,208,8825,8796,406,29,49,0,0,0,12,3629,1629
845,www.lwmpersonalinjurylawyers.com,subdomains,104.18.52.201,NA,28,4783258,264,181,0,7,371,293,365,6263,6162,1561,88,223,0,0,0,34,1253,236
846,mainetti.law,subdomains,104.18.55.101,NA,3.6,35736600,50,22,0,0,50,50,66,278,273,213,5,10,0,0,0,0,272,70
847,www.quirklawyers.com,subdomains,104.18.48.246,NA,22,8345411,171,129,0,3,248,201,74,1443,1443,180,0,94,0,0,0,9,356,213
848,jacksonmasseywins.com,subdomains,198.71.233.197,NA,6,27950939,29,15,0,0,30,29,3,202,186,43,13,6,0,1,0,0,75,104
849,jimrosslaw.com,subdomains,159.65.162.61,NA,26,6488867,169,80,0,1,184,169,32,16434,16416,14988,18,372,0,0,0,10,2117,728
850,kpattorney.com,subdomains,209.59.180.221,NA,63,199307,462,236,0,1,374,327,109,546025,545902,1933,121,530537,2,0,0,12,5921,3753
851,www.hieplerlaw.com,subdomains,104.16.110.239,NA,10,18995668,92,40,0,1,69,69,16,18428,18427,2543,1,243,0,0,0,3,321,111
852,www.mccm.com,subdomains,107.180.2.235,NA,24,7448718,62,39,0,0,72,69,0,7399,7399,704,0,34,0,0,0,0,1,0
853,www.dhillonlawfirm.com,subdomains,192.124.249.58,NA,1.7,50435134,70,32,0,0,81,79,0,810,810,218,0,56,0,0,0,0,1773,1135
854,rahnamalaw.com,subdomains,35.184.220.18,NA,8,21711981,164,121,1,1,243,166,11,4036,3818,138,213,14,0,2,2,14,526,156
855,emergency-car-auto-injury-lawyer.business.site,subdomains,NA,NA,92,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856,tmaddenlaw.com,subdomains,104.26.2.234,NA,32,3488810,167,109,0,2,299,229,74,15686,15533,996,15,100,0,0,0,55,621,192
857,www.weldonrothman.com,subdomains,96.126.109.195,NA,13,14500874,155,49,0,1,219,166,10,2900,2629,537,3,40,268,0,0,48,558,150
858,www.oconnorpersonalinjury.com,subdomains,104.26.4.110,NA,14,13287829,77,50,0,0,89,84,30,806,797,188,9,553,0,0,0,0,1520,523
859,www.grennierlaw.com,subdomains,104.154.179.227,NA,28,5029499,88,37,0,1,88,85,0,1894,1891,171,3,9,0,0,0,2,0,0
860,bufete.com,subdomains,209.59.180.221,NA,9,20173396,50,22,0,0,56,54,90,10696,10677,2314,19,7923,0,0,0,0,566,76
861,www.maj.law,subdomains,69.61.54.41,NA,8,21606504,47,22,0,1,88,73,28,928,362,98,566,5,0,0,0,1,199,13
862,www.abogadosasudefensa.com,subdomains,75.98.175.116,NA,0.1,100357042,1,0,0,0,1,1,0,3,3,3,0,0,0,0,0,0,0,0
863,gregoryphillipslaw.com,subdomains,NA,NA,3.3,37989960,24,15,0,1,89,59,0,540,540,16,0,14,0,0,0,7,15,1
864,mydrted.com,subdomains,35.196.247.55,NA,29,4506169,346,210,0,15,490,378,581,11123,11117,5111,6,157,0,0,0,124,7571,2331
865,www.brandyaustinlaw.com,subdomains,35.229.27.14,NA,36,2349282,108,48,0,1,183,134,0,20746,20746,4699,0,194,0,0,0,23,0,0
866,oxnard-car-workers-compensation-lawyer.business.site,subdomains,216.58.204.142,NA,92,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,www.doumarlaw.com,subdomains,104.16.109.239,NA,4.2,33331157,46,18,0,0,49,49,17,1618,1617,1401,1,178,0,0,0,0,71,23
868,thetexaslawdog.com,subdomains,104.198.251.46,NA,19,9716301,148,86,2,11,140,125,24,1317,1316,785,1,10,0,0,3,37,591,73
869,www.williamsthorson.com,subdomains,162.241.142.45,NA,0.6,70282328,36,7,0,0,38,38,2,107,107,86,0,0,0,0,0,0,8,5
870,www.trialpro.com,subdomains,206.225.84.81,NA,47,876562,539,348,0,16,502,440,17,121977,121936,107258,23,3398,0,0,0,136,5184,1326
871,www.fobilaw.com,subdomains,174.143.242.93,NA,0.9,64236027,29,10,0,0,31,31,4,109,104,41,5,6,0,0,0,0,22,8
872,liberty-car-truck-injury-lawyer-texas.business.site,subdomains,NA,NA,92,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,attorneymikehostilo.com,subdomains,198.187.29.39,NA,10,18456787,100,29,0,0,76,73,48,26666,26616,3665,49,364,0,0,0,0,1147,1204
874,members.calbar.ca.gov,subdomains,67.97.90.150,NA,93,171,4355,3282,4,27,3905,2601,1207,2574817,2573006,151414,95,29884,8,1676,30,251,286225,200796
875,www.kuhllawfirm.com,subdomains,64.70.194.133,NA,9,20562556,44,17,0,0,67,63,8,284,284,92,0,2,0,0,0,0,62,16
876,www.nesheiwatlaw.com,subdomains,NA,NA,5,28851569,9,1,0,0,10,10,0,494,494,493,0,0,0,0,0,0,1,3
877,www.bellbrigham.com,subdomains,NA,NA,3.6,36224393,46,21,0,0,53,51,0,729,729,362,0,6,0,0,0,0,137,48
878,www.thetexasattorney.com,subdomains,35.231.83.197,NA,21,8390870,201,99,0,1,484,287,86,191655,191485,9676,170,230,0,0,0,1279,6851,2717
879,www.thenaplesaccidentlawyer.com,subdomains,64.70.194.123,NA,7,23576112,13,7,0,0,13,12,14,1344,1337,7,7,27,0,0,0,0,41,12
880,www.drakelawgroup.com,subdomains,35.153.248.116,NA,36,2290239,86,60,0,1,91,87,27,4888,4888,94,0,10,0,0,0,1,168,82
881,www.tlanierlaw.com,subdomains,104.16.112.239,NA,2.7,41280483,50,12,0,0,26,26,13,560,560,121,0,265,0,0,0,0,75,24
882,www.attorneykennugent.com,subdomains,194.1.147.16,NA,45,1047062,1232,598,0,28,1163,901,103,23202,23060,11268,86,1522,33,0,0,170,12679,5643
883,dashnerlaw.com,subdomains,107.180.56.177,NA,16,11932661,115,69,0,0,130,115,124,24735,24726,1979,9,1892,0,0,0,0,541,157
884,sodhilawgroup.com,subdomains,NA,NA,1.2,57780363,23,11,0,0,23,23,5,45,39,17,6,10,0,0,0,0,451,225
885,www.georgebushlaw.com,subdomains,104.16.109.239,NA,18,10398421,60,10,0,0,36,36,29,805,803,282,2,492,0,0,0,0,155,56
886,toddrashlaw.com,subdomains,160.153.136.3,NA,NA,NA,4,0,0,0,4,4,7,8,8,8,0,0,0,0,0,0,6,3
887,www.rjrlawoffice.com,subdomains,NA,NA,0.3,80404888,5,2,0,0,5,5,3,6,6,3,0,0,0,0,0,0,122,29
888,pattersonpersonalinjury.com,subdomains,104.26.13.47,NA,30,4072430,261,134,1,9,416,316,214,85485,85478,861,5,41,1,0,1,20,7722,3401
889,daviddeklelaw.com,subdomains,NA,NA,3.4,37334282,24,11,0,0,25,25,9,80,76,34,4,3,0,0,0,0,52,11
890,lawrpm.com,subdomains,104.27.165.139,NA,5,28663008,33,16,0,1,132,83,20,1283,1267,131,8,3,8,0,0,12,59,21
891,cdmlaw.net,subdomains,NA,NA,40,1499869,98,42,0,1,180,145,0,870,868,193,2,31,0,0,0,30,207,49
892,www.theconnorfirm.com,subdomains,104.16.108.239,NA,1.4,55061904,79,14,0,0,57,57,10,7263,7263,870,0,2965,0,0,0,0,228,105
893,davidrmurdock.com,subdomains,104.27.137.14,NA,2.5,43134801,10,5,0,0,87,59,8,534,528,15,0,10,0,0,0,0,14,4
894,www.themarucalawfirm.com,subdomains,100.24.208.97,NA,35,2611836,133,113,0,0,148,118,4,878,878,454,0,0,0,0,0,0,60,44
895,harmanlaw.com,subdomains,67.225.163.26,NA,16,11661663,116,51,0,1,314,188,142,3082,2828,1247,241,66,13,0,0,37,2727,340
896,www.harriscooklaw.com,subdomains,35.206.110.234,NA,20,9229138,122,62,0,0,155,127,8,3653,3653,3008,0,161,0,0,0,0,1,0
897,detulado.com,subdomains,142.4.16.67,NA,7,23636835,38,16,0,0,45,43,27,590,574,71,16,6,0,0,0,0,280,149
898,www.augustalawoffice.com,subdomains,35.232.226.219,NA,8,21520870,68,30,0,0,74,73,27,655,652,258,3,216,0,0,0,0,102,28
899,www.aspands.com,subdomains,NA,NA,2.5,42936190,44,5,0,0,22,21,1,267,267,255,0,0,0,0,0,0,1,0
900,arthurshealy.com,subdomains,NA,NA,0,118316751,5,1,0,0,5,5,0,5,5,4,0,1,0,0,0,0,0,0
901,www.salazarandkelly.com,subdomains,98.129.229.213,NA,10,18811787,67,28,0,0,71,70,20,35625,35613,1188,12,11,0,0,0,0,1183,270
902,www.rungefirm.com,subdomains,64.70.194.125,NA,3,39443813,27,15,0,0,69,56,8,675,675,40,0,3,0,0,0,0,121,29
903,the-dedicated-auto-accident-attorney-trial-attorney.business.site,subdomains,NA,NA,92,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904,www.bryanshawkins.com,subdomains,104.16.111.239,NA,7,23086563,73,20,0,1,74,65,75,968,963,569,1,128,0,0,0,4,309,44
905,www.pettitlawoffice.com,subdomains,64.70.194.131,NA,2.1,46978513,71,20,0,0,60,55,9,12096,12095,7130,1,436,0,0,0,0,2,0
906,curtislegalgroup.com,subdomains,104.31.81.246,NA,16,11890442,116,57,0,2,240,180,27,5911,5910,1530,1,60,0,0,0,149,1250,444
907,califflawfirm.com,subdomains,NA,NA,4.7,30969754,28,15,0,1,63,53,2,322,318,82,4,11,0,0,0,2,164,8
908,the-aurora-auto-accident-attorney.business.site,subdomains,NA,NA,92,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
909,pardyrodriguezlaw.com,subdomains,192.124.249.19,NA,5,29974484,83,47,0,0,92,87,8,1468,1460,627,1,107,7,0,0,0,483,165
910,www.deanpetrulakislaw.com,subdomains,64.70.194.130,NA,5,28612784,32,14,0,1,73,56,25,491,485,79,6,13,0,0,0,14,96,27
911,rossiandrossilaw.com,subdomains,66.155.35.240,NA,1.2,56558306,26,10,0,0,30,30,0,190,190,77,0,8,0,0,0,0,58,33
912,thelawrencelawfirm.com,subdomains,104.16.112.239,NA,6,26343640,115,42,0,1,213,142,202,59607,59601,4648,4,1849,0,0,0,50,505,68
913,www.yourpersonalinjuryfirm.com,subdomains,192.124.249.167,NA,3.3,37897917,36,15,0,1,141,86,8,1191,1180,60,11,11,0,0,0,42,544,62
914,gonzaleslawoffices.com,subdomains,132.148.199.18,NA,30,4219258,239,126,0,5,298,270,4,7610,7608,4288,2,71,0,0,0,11,268,45
915,www.fabbrolawcentralvalley.com,subdomains,64.70.194.125,NA,4.2,33372339,37,18,0,1,129,92,10,2075,2075,300,0,14,0,0,0,27,185,28
916,www.icglegal.com,subdomains,64.70.194.125,NA,0.4,78789055,27,5,0,0,35,35,5,175,142,74,0,1,0,0,0,0,151,201
917,www.rodriguezlawmodesto.com,subdomains,50.63.120.1,NA,1.3,56131326,9,3,0,0,10,10,6,18,18,10,0,2,0,0,0,0,0,0
918,mcdivittlaw.com,subdomains,13.89.172.14,NA,27,5772920,399,214,1,1,358,323,267,32931,32459,2691,55,695,2,7,6,2,4967,3031
919,www.moodylawyer.com,subdomains,NA,NA,0.3,80094371,12,4,0,0,12,12,0,197,197,129,0,1,0,0,0,0,5,4
920,www.ohiodisabilitylaw.com,subdomains,54.175.148.58,NA,13,14130464,202,114,0,2,339,243,85,25534,25532,939,2,393,0,0,0,56,3972,1472
921,thecoveragelawyer.com,subdomains,104.28.12.35,NA,15,12807619,86,44,0,5,102,96,1,349,322,146,15,15,12,0,0,13,92,2
922,www.setarehfirm.com,subdomains,35.192.54.197,NA,26,6397355,66,48,0,0,72,71,29,1826,1824,94,2,19,0,0,0,0,236,77
923,patfirelaw.com,subdomains,199.34.228.77,NA,NA,NA,2,0,0,0,3,3,2,4,4,4,0,0,0,0,0,0,2,0
924,www.railawfirms.com,subdomains,50.62.160.248,NA,3,39755447,6,3,0,0,6,6,0,14147,14147,5,0,2,0,0,0,0,0,0
925,www.boginmunns.com,subdomains,104.26.13.122,NA,28,4861996,374,171,0,2,681,433,272,53440,53271,14038,169,612,0,0,0,940,6170,2881
926,www.davidrickslaw.com,subdomains,104.28.22.240,NA,11,16814042,133,58,0,1,226,169,97,4967,3779,448,1188,30,0,0,0,10,3564,1022
927,www.chicagolawyer.com,subdomains,35.225.139.103,NA,49,747536,681,516,2,34,908,674,230,18191,18179,10131,8,224,0,0,3,231,8913,3369
928,www.marknelsonlawoffices.com,subdomains,198.185.159.145,NA,7,25007409,89,35,0,1,127,95,7,29640,29502,506,114,48,0,0,0,35,73,106
929,www.rtrlaw.com,subdomains,198.71.233.65,NA,25,6694660,81,29,0,0,66,65,21,798,776,224,22,6,0,0,0,0,365,201
930,victorville-definitive-car-accident.business.site,subdomains,NA,NA,92,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
931,green-haines.com,subdomains,NA,NA,1.8,49571206,58,27,0,0,63,60,1,19853,19853,10883,0,9,0,0,0,0,146,86
932,www.gcnelsonlaw.com,subdomains,104.16.112.239,NA,1.2,57762292,81,32,0,0,69,69,204,9980,9973,3355,7,941,0,0,0,0,387,109
933,411attorney.com,subdomains,104.236.40.107,NA,6,25450961,42,10,0,0,39,39,9,316,280,209,36,29,0,0,0,0,259,81
934,www.josephtjoseph.com,subdomains,69.167.152.95,NA,8,21313330,61,34,0,0,68,63,27,8153,8153,1391,0,51,0,0,0,0,224,60
935,www.callripleynow.com,subdomains,35.246.6.109,NA,3.2,38551192,58,23,0,0,60,59,6,3063,3009,2733,52,6,0,0,0,0,27,36
936,www.rancanolaw.com,subdomains,64.70.194.137,NA,2.7,41571013,102,34,0,0,76,72,11,1207,1207,981,0,78,0,0,0,0,245,84
937,www.legallyons.com,subdomains,107.180.57.101,NA,4.8,30468728,21,11,0,0,25,25,7,207,207,58,0,56,0,0,0,0,0,0
938,shakerlaw.com,subdomains,104.198.104.53,NA,7,23199450,40,24,0,0,36,36,8,154,153,57,1,18,0,0,0,0,47,9
939,calltheaccidentguys.com,subdomains,104.198.108.94,NA,11,16307368,79,38,0,0,94,91,12,1863,1487,396,376,25,0,0,0,0,799,185
940,www.stocktoninjury.com,subdomains,65.74.142.44,NA,6,27805767,19,12,0,1,92,65,37,1040,995,30,12,3,0,0,0,54,64,33
941,www.youngstownattorneys.com,subdomains,192.124.249.7,NA,5,29526565,17,10,0,1,99,62,3,833,820,32,13,3,0,0,0,10,30,32
942,www.bestandanderson.com,subdomains,184.168.131.241,NA,3.6,36249053,80,38,0,1,78,77,1,1275,1270,1112,5,32,0,0,0,1,0,0
943,www.fdazar.com,subdomains,216.58.204.115,NA,34,2848816,451,241,1,0,514,401,126,13702,13635,3467,66,4079,1,0,2,0,4315,2555
944,www.attorneyatlawvictorville.com,subdomains,209.17.116.160,NA,0.3,81613570,19,7,0,0,19,17,8,53,37,26,16,3,0,0,0,0,59,76
945,injury.cardosocares.com,subdomains,NA,NA,NA,NA,2,0,0,0,1,1,0,8,8,8,0,0,0,0,0,0,0,0
946,silvainjurylaw.com,subdomains,208.115.242.236,NA,22,8061132,19,12,0,0,20,20,10,73,64,29,7,13,0,0,0,0,80,5
947,www.ielawoffice.com,subdomains,159.135.41.169,NA,13,14317127,93,59,0,1,179,144,85,11236,11227,1359,9,66,0,0,0,34,1248,270
948,407attorney.com,subdomains,40.121.8.241,NA,NA,NA,8,4,0,0,10,9,2,15,15,6,0,9,0,0,0,0,23,4
949,www.amonilaw.com,subdomains,104.16.112.239,NA,4.4,32234768,59,30,0,1,183,113,125,33031,33021,770,10,828,0,0,0,56,105,29
950,www.bhlaws.com,subdomains,104.27.141.70,NA,8,21818375,161,79,0,1,97,92,22,4245,4244,3990,1,99,0,0,0,2,134,109
951,www.habbaslaw.com,subdomains,64.70.194.130,NA,24,7359335,159,81,0,1,150,146,48,4826,4825,794,1,95,0,0,0,1,1137,1260
952,www.shimeklaw.com,subdomains,45.40.144.200,NA,11,17309235,2,0,0,0,2,2,0,2,2,2,0,1,0,0,0,0,0,0
953,amyglaw.com,subdomains,104.198.251.46,NA,21,8695465,151,96,2,13,160,146,36,58400,58399,1125,1,14,0,0,3,37,2330,267
954,www.melendezlawoffices.com,subdomains,64.70.194.125,NA,5,28397367,23,5,0,0,26,25,18,99,99,87,0,4,0,0,0,0,293,389
955,www.arata-law.com,subdomains,35.209.51.47,NA,14,13091230,118,71,0,3,272,185,62,28821,28813,2578,5,9,0,0,0,76,479,373
956,www.myrightslawgroup.com,subdomains,151.101.194.159,NA,17,11581327,133,87,0,1,291,174,166,5372,5371,469,0,153,1,0,0,53,1669,417
957,www.fenimoreinjurylaw.com,subdomains,209.59.171.69,NA,9,19928493,59,38,0,2,69,66,38,404,386,74,4,11,14,0,0,3,140,124
958,www.hartwiglaw.com,subdomains,64.70.194.125,NA,4.9,30073593,40,17,0,1,179,104,11,3925,3925,1909,0,0,0,0,0,32,215,59
959,woodrufflawyers.com,subdomains,192.124.249.7,NA,17,10814254,265,186,0,4,445,323,9,13438,13426,3432,12,1553,0,0,0,106,1427,446
960,www.hhmlaw.com,subdomains,NA,NA,10,17418977,77,45,0,1,89,85,0,769,769,379,0,2,0,0,0,1,1784,326
961,www.all-injuries.com,subdomains,104.16.109.239,NA,5,29133194,133,54,0,0,121,116,61,22167,22114,4497,53,1737,0,0,0,0,701,137
962,www.therichardsonfirm.com,subdomains,35.203.176.46,NA,6,26644651,81,24,0,0,65,62,11,633,632,542,1,17,0,0,0,0,479,279
963,www.silverthorneattorneys.com,subdomains,104.154.94.123,NA,40,1489655,410,302,1,2,525,417,118,8400,8372,444,16,472,0,0,1,30,1208,358
964,zarzaurlaw.com,subdomains,160.153.63.198,NA,26,6268562,122,85,0,1,187,152,228,2999,2990,165,9,185,0,0,0,6,1859,498
965,www.kfkllaw.com,subdomains,192.254.206.155,NA,14,13846996,165,75,0,2,218,178,125,35146,35047,1859,86,92,0,0,0,7,1583,247
966,toddcopeland.com,subdomains,174.142.115.245,NA,8,21960167,53,26,0,0,50,48,23,976,939,559,37,311,0,0,0,0,275,93
967,www.rektebradshaw.com,subdomains,198.185.159.145,NA,NA,NA,4,0,0,0,4,4,4,5,5,5,0,2,0,0,0,0,28,1
968,best-denver-auto-accident-attorney-personal-injury-lawyer.business.site,subdomains,NA,NA,92,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
969,www.mpmlawnc.com,subdomains,192.124.249.119,NA,1.5,53170393,55,12,0,0,31,30,0,195,171,150,24,5,0,0,0,0,57,47
970,www.pensacolalawyer.com,subdomains,NA,NA,26,6449076,385,167,0,21,221,185,0,2216,2186,1569,28,68,0,0,0,192,1072,670
971,earlcarterlaw.com,subdomains,69.16.209.213,NA,11,16057388,157,67,0,1,293,212,15,4012,4005,1856,2,64,3,0,0,29,1137,641
972,therichardsonfirm.com,subdomains,192.237.224.60,NA,6,26644651,82,24,0,0,66,63,11,656,655,554,1,18,0,0,0,0,479,279
973,www.williammcbride.com,subdomains,66.71.253.2,NA,13,14254441,54,25,0,1,59,58,0,316,313,180,3,8,0,0,0,1,0,0
974,www.quinnlawfirm.com,subdomains,192.195.77.130,NA,1.9,48538445,15,3,0,0,17,15,1,42,42,39,0,3,0,0,0,0,0,0
975,lmoclaw.com,subdomains,192.124.249.14,NA,10,18117380,58,26,0,1,147,110,6,2703,2677,81,26,1864,0,0,0,8,94,15
976,gampersonalinjury.com,subdomains,NA,NA,0,125310962,8,3,0,0,8,8,0,11,11,7,0,0,0,0,0,0,7,0
977,www.grossandschuster.com,subdomains,34.66.143.219,NA,25,6872999,280,93,0,0,220,196,111,15552,15529,1614,0,47,19,0,0,0,1622,400
978,sweetjames.com,subdomains,104.154.86.12,NA,30,4116132,319,155,0,1,474,293,247,9356,9353,425,3,3671,0,0,0,1,19868,5462
979,www.brittonlawfirm.com,subdomains,104.16.111.239,NA,10,17408217,130,59,0,1,231,155,486,7199,6944,2663,253,978,0,0,0,29,1703,598
980,the-compassionate-auto-accident-lawyers-insurance-attorney.business.site,subdomains,NA,NA,92,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981,www.levinlaw.com,subdomains,23.185.0.2,NA,46,949723,1252,784,1,15,1207,931,886,60406,60245,12857,140,16046,0,0,2,367,27353,20605
982,the-strong-auto-accident-attorneys-personal-injury-lawyer.business.site,subdomains,NA,NA,92,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
983,www.yourcivilrightsattorney.com,subdomains,NA,NA,NA,NA,1,0,0,0,1,1,0,2,2,2,0,0,0,0,0,0,7,1
984,website--794073476908864743681-personalinjurylawyer.business.site,subdomains,NA,NA,92,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985,gamalawfirm.com,subdomains,52.24.184.195,NA,10,18957381,105,53,0,1,198,140,17,3108,3003,1365,105,26,0,0,0,18,1493,1275
986,kinerlegalgroup.business.site,subdomains,216.58.206.238,NA,92,406,2,1,0,0,2,2,5,2,2,1,0,1,0,0,0,0,2,0
987,www.lawyernc.com,subdomains,3.229.73.192,NA,45,1030927,776,472,0,3,770,574,1082,148249,148077,6974,145,309,13,0,0,37,26486,7972
988,www.bullardpowell.com,subdomains,104.198.206.25,NA,10,19104680,36,14,0,1,97,69,12,648,648,112,0,20,0,0,0,16,45,15
989,www.bandaslawfirm.com,subdomains,64.70.194.134,NA,9,19234093,108,57,0,1,166,138,66,1604,1604,586,0,26,0,0,0,8,2021,417
990,www.armstrongbarrington.com,subdomains,35.246.6.109,NA,2.1,46514470,71,9,0,0,40,39,12,968,928,761,40,2,0,0,0,0,194,22
991,michigansmalllaw.com,subdomains,160.153.136.3,NA,0,118310430,12,1,0,0,12,12,3,167,101,100,66,0,0,0,0,0,0,0
992,stevensonklotz.com,subdomains,35.202.221.66,NA,30,4029950,353,186,0,1,363,290,129,2434,2384,672,50,50,0,0,0,18,960,270
993,morrisonandbarnes.com,subdomains,146.148.100.220,NA,5,29381786,66,36,0,0,80,76,5,6971,6950,6689,20,15,0,0,0,0,204,107
994,www.plylerlaw.com,subdomains,64.70.194.138,NA,7,24668893,97,35,0,1,140,109,12,4622,4609,593,13,22,0,0,0,16,262,120
995,www.hamolaw.com,subdomains,NA,NA,4.1,33418005,25,13,0,1,138,79,0,1618,1618,43,0,0,0,0,0,37,15,0
996,thewrightlawyercorpus.com,subdomains,NA,NA,NA,NA,12,1,0,0,12,12,0,14,14,13,0,2,0,0,0,0,933,116
997,www.stricklandlawnc.com,subdomains,98.129.229.4,NA,20,9307030,383,292,0,3,578,401,76,54030,54012,1337,18,90,0,0,0,59,2652,719
998,the-compassionate-kansas-city-auto.business.site,subdomains,NA,NA,92,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,www.1800leefree.com,subdomains,172.105.158.121,NA,16,11905674,239,142,0,4,421,299,287,4908,4894,704,14,214,0,0,0,165,6877,1760
